image,caption,lengths,new_caption
1000268201_693b08cb0e.jpg,A girl going into a wooden building .,8,girl going into wooden building .
1001773457_577c3a7d70.jpg,A black dog and a spotted dog are fighting,9,black dog and spotted dog are fighting .
1002674143_1b742ab4b8.jpg,Young girl with pigtails painting outside in the grass .,10,young girl with pigtails painting outside in the grass .
1003163366_44323f5815.jpg,man laying on bench holding leash of dog sitting on ground,11,man laying on bench holding leash of dog sitting on ground .
1007129816_e794419615.jpg,A man wears an orange hat and glasses .,9,man wears an orange hat and glasses .
1007320043_627395c3d8.jpg,A child playing on a rope net .,8,child playing on rope net .
1009434119_febe49276a.jpg,A Boston terrier is running in the grass .,9,boston terrier is running in the grass .
1012212859_01547e3f17.jpg,"Dog with orange ball at feet , stands on shore shaking off water",13,"dog with orange ball at feet , stands on shore shaking off water ."
1015118661_980735411b.jpg,A young boy runs aross the street .,8,young boy runs aross the street .
1015584366_dfcec3c85a.jpg,A black dog leaps over a log .,8,black dog leaps over log .
101654506_8eb26cfb60.jpg,A dog running through snow .,6,dog running through snow .
101669240_b2d3e7f17b.jpg,Man on skis looking at artwork for sale in the snow,11,man on skis looking at artwork for sale in the snow .
1016887272_03199f49c4.jpg,A collage of one person climbing a cliff .,9,collage of one person climbing cliff .
1019077836_6fc9b15408.jpg,a brown dog plays with the hose .,8,brown dog plays with the hose .
1019604187_d087bf9a5f.jpg,A white dog running after a yellow ball,8,white dog running after yellow ball .
1020651753_06077ec457.jpg,A dog leaps to catch a ball in a field .,11,dog leaps to catch ball in field .
1022454332_6af2c1449a.jpg,A little boy at a lake watching a duck .,10,little boy at lake watching duck .
1022454428_b6b660a67b.jpg,Couple with a baby sit outdoors next to their stroller .,11,couple with baby sit outdoors next to their stroller .
1022975728_75515238d8.jpg,A dog splashes in the water,6,dog splashes in the water .
102351840_323e3de834.jpg,Two men are ice fishing .,6,two men are ice fishing .
1024138940_f1fefbdce1.jpg,Two dogs playing together on a beach .,8,two dogs playing together on beach .
102455176_5f8ead62d5.jpg,Climber climbing an ice wall,5,climber climbing an ice wall .
1026685415_0431cbf574.jpg,A black dog carrying something through the grass .,9,black dog carrying something through the grass .
1028205764_7e8df9a2ea.jpg,Man and child in yellow kayak,6,man and child in yellow kayak .
1030985833_b0902ea560.jpg,Black dog snaps at red and black object as brown dog lunges .,13,black dog snaps at red and black object as brown dog lunges .
103106960_e8a41d64f8.jpg,A young kid playing the goalie in a hockey rink .,11,young kid playing the goalie in hockey rink .
103195344_5d2dc613a3.jpg,a man sits near a large statue .,8,man sits near large statue .
103205630_682ca7285b.jpg,A tent is being set up on the ice .,10,tent is being set up on the ice .
1032122270_ea6f0beedb.jpg,Three dogs on a grassy hill,6,three dogs on grassy hill .
1032460886_4a598ed535.jpg,a man is standing in front of a skyscraper,9,man is standing in front of skyscraper .
1034276567_49bb87c51c.jpg,A child biting into a baked good .,8,child biting into baked good .
104136873_5b5d41be75.jpg,Three people overlook a green valley .,7,three people overlook green valley .
1042020065_fb3d3ba5ba.jpg,A boy in a green shirt watches kayakers .,9,boy in green shirt watches kayakers .
1042590306_95dea0916c.jpg,A multiracial couple posing for a picture,7,multiracial couple posing for picture .
1045521051_108ebc19be.jpg,A person eats takeout while watching a small television .,10,person eats takeout while watching small television .
1048710776_bb5b0a5c7c.jpg,Crowd of people at the beach .,7,crowd of people at the beach .
1052358063_eae6744153.jpg,Two skateboarders .,3,two skateboarders .
105342180_4d4a40b47f.jpg,A woman with a paddle .,6,woman with paddle .
1053804096_ad278b25f1.jpg,A girls plays in the surf .,7,girls plays in the surf .
1055623002_8195a43714.jpg,Children having a pillow fight .,6,children having pillow fight .
1055753357_4fa3d8d693.jpg,Two construction workers sitting on an I-beam .,8,two construction workers sitting on an i-beam .
1056249424_ef2a2e041c.jpg,Two boys play in a puddle .,7,two boys play in puddle .
1056338697_4f7d7ce270.jpg,A blond woman is on the street hailing a taxi .,11,blond woman is on the street hailing taxi .
1056359656_662cee0814.jpg,Child sitting down looking at train ride brochure,8,child sitting down looking at train ride brochure .
1056873310_49c665eb22.jpg,Two dogs playing on a beach .,7,two dogs playing on beach .
1057089366_ca83da0877.jpg,A boy descends off the end of a high diving board .,12,boy descends off the end of high diving board .
1057210460_09c6f4c6c1.jpg,A man puts his shirt on near an elevator .,10,man puts his shirt on near an elevator .
1057251835_6ded4ada9c.jpg,A light-colored dog runs on the beach .,8,light-colored dog runs on the beach .
106490881_5a2dd9b7bd.jpg,Children playing on the beach .,6,children playing on the beach .
106514190_bae200f463.jpg,A skier pauses on a mountaintop .,7,skier pauses on mountaintop .
1067180831_a59dc64344.jpg,A dog jumps to catch a toy .,8,dog jumps to catch toy .
1067675215_7336a694d6.jpg,A man in blue shorts is laying in the street .,11,man in blue shorts is laying in the street .
1067790824_f3cc97239b.jpg,The two large dogs are running through sand .,9,the two large dogs are running through sand .
1072153132_53d2bb1b60.jpg,A dog and a tennis ball .,7,dog and tennis ball .
107318069_e9f2ef32de.jpg,People watching hot air balloons .,6,people watching hot air balloons .
1075716537_62105738b4.jpg,The little boy rides his bicycle in a race .,10,the little boy rides his bicycle in race .
107582366_d86f2d3347.jpg,A group of people gathered around in the dark .,10,group of people gathered around in the dark .
1075867198_27ca2e7efe.jpg,A man with two dogs on a beach,8,man with two dogs on beach .
1075881101_d55c46bece.jpg,A boy is covered in bubbles .,7,boy is covered in bubbles .
1077546505_a4f6c4daa9.jpg,A boy rides down a slide into a small backyard pool .,12,boy rides down slide into small backyard pool .
1077931201_1e0bb83105.jpg,The man is in the pool and throwing a small boy into the air .,15,the man is in the pool and throwing small boy into the air .
1079274291_9aaf896cc1.jpg,Two boys make faces .,5,two boys make faces .
10815824_2997e03d76.jpg,Two people and two horses watching a fire .,9,two people and two horses watching fire .
1082252566_8c79beef93.jpg,Three dogs of various sizes .,6,three dogs of various sizes .
1082379191_ec1e53f996.jpg,A man and a woman sitting on a dock .,10,man and woman sitting on dock .
1084040636_97d9633581.jpg,a large white dog lying on the floor .,9,large white dog lying on the floor .
1084104085_3b06223afe.jpg,Woman climbing an artificial rock wall .,7,woman climbing an artificial rock wall .
1087168168_70280d024a.jpg,A boy jumping on a water jumphouse,7,boy jumping on water jumphouse .
1087539207_9f77ab3aaf.jpg,Children ride a tractor in a field .,8,children ride tractor in field .
